Route,Mode/,,,,,,
note,"Customers per day, Mon-Fri",Vehicles in morning peak period,Vehicles in afternoon peak period,"Hours per day, Mon-Fri","Kilometres per day, Mon-Fri","Cost per day, Mon-Fri",
67 Pharmacy,,"5,300",6,6,85,"1,700","$12,900"
167 Pharmacy North,,"1,100",2,2,25,520,"$3,900"
66 Prince Edward,,"4,700",4,4,65,"1,200","$9,600"
134 Progress,,"8,100",7,7,100,"2,100","$15,500"
501 Queen,,,,,,,
SC,,,,,,,
,,,,,,,
"43,500",31,34,540,"8,200","$107,000",,
80 Queensway,,"1,600",3,3,50,"1,100","$7,700"
109 Ranee,,"5,300",3,5,65,"1,000","$8,900"
48 Rathburn,,"2,500",4,3,50,"1,200","$7,800"
161 Rogers Rd,,"6,600",7,7,110,"1,800","$15,900"
82 Rosedale,,"1,200",1,1,18,310,"$2,500"
73 Royal York,,"8,300",10,9,150,"3,300","$22,300"
76 Royal York South,,"10,100",11,9,120,"2,300","$18,300"
71 Runnymede,,"3,600",4,4,70,"1,200","$9,800"
86 Scarborough,,"16,400",28,18,300,"6,900","$47,100"
190 Scarborough Centre Rocket,,"10,100",10,12,140,"2,800","$21,000"
79 Scarlett Rd,,"8,400",14,11,160,"3,100","$24,300"
85 Sheppard East,,"27,100",29,28,420,"8,800","$63,500"
84 Sheppard West,,"15,700",18,14,220,"4,400","$32,900"
75 Sherbourne,,"5,200",6,6,90,"1,100","$12,100"
123 Shorncliffe,,"5,400",5,5,90,"1,900","$13,200"
115 Silver Hills,,"1,000",2,2,30,600,"$4,500"
88 South Leaside,,"4,100",8,7,95,"1,600","$14,000"
510 Spadina and 509 Harbourfront,,,,,,,
SC(2),,,,,,,
,,,,,,,
"55,400",22,29,450,"6,200","$86,400",,
78 St Andrews,,"1,600",3,2,30,580,"$4,500"
512 St Clair,,,,,,,
SC,,,,,,,
,,,,,,,
"32,400",25,20,340,"4,700","$69,000",,
53 Steeles East,,"28,100",40,39,530,"11,200","$80,900"
60 Steeles West,,"29,800",35,34,440,"8,600","$66,000"
124 Sunnybrook and,,,,,,,
162 Lawrence-Donway,,,,,,,
-2,,,,,,,
,,,,,,,
"4,300",6,7,85,"1,300","$12,100",,
77 Swansea,,"2,600",3,2,40,630,"$5,700"
168 Symington,,"7,600",9,7,120,"1,800","$16,800"
81 Thorncliffe Park,,"7,100",6,4,70,"1,300","$10,300"
90 Vaughan,,"6,400",6,5,70,970,"$9,800"
24 Victoria Park and 224 Victoria Park North,,,,,,,
-1,,,,,,,
-2,,,,,,,
,,,,,,,
"23,200",27,23,340,"6,700","$50,500",,
68 Warden,,,,,,,
-1,,,,,,,
,,,,,,,
"14,300",18,14,200,"4,200","$30,400",,
69 Warden South,,"5,400",4,3,65,"1,200","$9,100"
55 Warren Park,,"1,200",1,1,20,350,"$2,800"
94 Wellesley,,"9,000",7,6,110,"1,400","$14,800"
112 West Mall,,"7,900",13,10,160,"3,500","$24,600"
89 Weston,,"15,100",15,11,190,"3,100","$27,000"
165 Weston Rd North,,,,,,,
-1,,,,,,,
,,,,,,,
"17,600",21,16,300,"6,300","$44,200",,
98 Willowdale-Senlac,,"1,900",4,4,60,"1,100","$8,500"
96 Wilson,,"24,700",29,24,390,"8,600","$59,500"
91 Woodbine,,"5,200",9,7,110,"2,100","$16,400"
92 Woodbine South,,"3,400",3,3,40,610,"$5,700"
97 Yonge,,"3,300",7,7,110,"1,900","$15,900"
95 York Mills,,"24,700",40,25,420,"9,400","$65,100"
106 York University,,"6,600",9,6,100,"2,000","$15,200"
196 York University Rocket,,"20,200",22,21,300,"7,600","$47,800"
